City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,Killybegs,54.6333,-8.45,51.51,78,31,16.93,IE,2021-09-27 17:54:35
192,Sisimiut,66.9395,-53.6735,33.66,43,0,5.88,GL,2021-09-27 17:54:36
193,Ribeira Grande,38.5167,-28.7,72.0,73,75,12.66,PT,2021-09-27 17:54:17
194,Crna Na Koroskem,46.4705,14.8501,62.13,96,20,0.69,SI,2021-09-27 17:54:36
195,Fare,-16.7,-151.0167,79.05,75,4,18.77,PF,2021-09-27 17:54:36
196,Tual,-5.6667,132.75,80.6,83,98,16.53,ID,2021-09-27 17:54:37
197,Ponta Do Sol,32.6667,-17.1,75.83,71,24,4.61,PT,2021-09-27 17:54:17
198,Souillac,-20.5167,57.5167,72.36,78,40,14.97,MU,2021-09-27 17:54:33
199,Busselton,-33.65,115.3333,49.53,92,8,7.81,AU,2021-09-27 17:54:01
200,Uyuni,-20.4597,-66.825,61.81,7,0,12.86,BO,2021-09-27 17:54:37
201,Machali,-34.1833,-70.6667,67.28,40,0,6.91,CL,2021-09-27 17:54:37
202,Port-Cartier,50.0334,-66.8654,59.22,56,39,10.89,CA,2021-09-27 17:54:38
203,Lebu,-37.6167,-73.65,55.36,54,0,17.2,CL,2021-09-27 17:54:38
204,Hilo,19.7297,-155.09,76.8,91,90,4.61,US,2021-09-27 17:53:41
205,Guerrero Negro,27.9769,-114.0611,72.46,64,39,12.39,MX,2021-09-27 17:54:38
206,Sungairaya,0.7,108.9,77.52,87,100,1.88,ID,2021-09-27 17:54:39
207,Lamu,-2.2717,40.902,77.22,82,31,16.15,KE,2021-09-27 17:54:39
208,Necochea,-38.5473,-58.7368,56.03,55,63,9.28,AR,2021-09-27 17:54:39
209,Hithadhoo,-0.6,73.0833,82.71,75,100,13.35,MV,2021-09-27 17:54:32
210,Albany,42.6001,-73.9662,75.74,70,91,6.11,US,2021-09-27 17:54:22
211,Saint-Philippe,-21.3585,55.7679,71.19,84,24,12.55,RE,2021-09-27 17:54:39
212,Marovoay,-16.1,46.6333,78.94,40,65,8.97,MG,2021-09-27 17:54:40
213,Sioux Lookout,50.1001,-91.917,57.58,58,20,2.3,CA,2021-09-27 17:54:40
214,Broken Hill,-31.95,141.4333,55.11,24,23,8.05,AU,2021-09-27 17:54:40
215,Bredasdorp,-34.5322,20.0403,57.27,77,83,5.28,ZA,2021-09-27 17:54:41
216,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
217,Kavieng,-2.5744,150.7967,81.64,77,90,9.15,PG,2021-09-27 17:54:06
218,Bandarbeyla,9.4942,50.8122,78.48,82,33,12.15,SO,2021-09-27 17:54:41
219,Mahebourg,-20.4081,57.7,72.25,78,40,14.97,MU,2021-09-27 17:54:35
220,Georgetown,5.4112,100.3354,77.95,94,40,5.01,MY,2021-09-27 17:54:07
221,Arraial Do Cabo,-22.9661,-42.0278,80.56,69,40,16.11,BR,2021-09-27 17:54:41
222,Ushuaia,-54.8,-68.3,51.42,53,40,5.75,AR,2021-09-27 17:53:53
223,Rio Tinto,41.1826,-8.5581,67.28,84,75,7.0,PT,2021-09-27 17:54:42
224,Dinguiraye,11.3,-10.7167,77.56,81,80,3.76,GN,2021-09-27 17:54:42
225,Kapaa,22.0752,-159.319,77.32,78,20,13.8,US,2021-09-27 17:53:49
226,Awbari,26.5921,12.7805,80.65,17,0,8.16,LY,2021-09-27 17:54:42
227,Esperance,-33.8667,121.9,53.44,81,97,18.3,AU,2021-09-27 17:54:16
